"Subject"	"TrialType"	"numErr"	"GenType"	"Task"	"ConType"	"PrimeType"	"TargetType"	"numTOErr"	"numComErr"	"Observer"
1	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
2	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	5	"Absent"
3	"WITnumErr_bw"	25	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	21	"Present"
4	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	3	"Absent"
5	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	3	"Present"
6	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	5	"Absent"
7	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
8	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	3	"Absent"
9	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
10	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	14	"Absent"
11	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	1	"Present"
12	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	13	"Absent"
13	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	12	9	"Present"
14	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	6	"Absent"
15	"WITnumErr_bw"	7	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	4	"Present"
16	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	12	"Absent"
17	"WITnumErr_bw"	29	"black_con"	"WIT"	"congruent"	"black"	"gun"	13	16	"Present"
18	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	7	"Absent"
19	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
20	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	9	"Absent"
21	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	3	"Present"
22	"WITnumErr_bw"	15	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	11	"Absent"
23	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	5	"Present"
24	"WITnumErr_bw"	11	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	9	"Absent"
25	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	9	"Present"
26	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	7	14	"Absent"
27	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	11	2	"Present"
28	"WITnumErr_bw"	19	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	15	"Absent"
29	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	12	"Present"
30	"WITnumErr_bw"	21	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	12	"Absent"
31	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
32	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	15	"Absent"
33	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	8	"Present"
34	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	8	"Absent"
35	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	0	"Present"
36	"WITnumErr_bw"	20	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	14	"Absent"
37	"WITnumErr_bw"	28	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	26	"Present"
38	"WITnumErr_bw"	18	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	16	"Absent"
39	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	7	"Present"
40	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	0	8	"Absent"
41	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	6	"Present"
42	"WITnumErr_bw"	2	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	1	"Absent"
43	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	0	"Present"
44	"WITnumErr_bw"	17	"black_con"	"WIT"	"congruent"	"black"	"gun"	9	8	"Absent"
45	"WITnumErr_bw"	14	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	11	"Present"
46	"WITnumErr_bw"	10	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	9	"Absent"
47	"WITnumErr_bw"	16	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	11	"Present"
48	"WITnumErr_bw"	26	"black_con"	"WIT"	"congruent"	"black"	"gun"	14	12	"Absent"
49	"WITnumErr_bw"	6	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	4	"Absent"
50	"WITnumErr_bw"	13	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	11	"Present"
51	"WITnumErr_bw"	NA	"black_con"	"WIT"	"congruent"	"black"	"gun"	NA	NA	"Present"
52	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	5	7	"Absent"
53	"WITnumErr_bw"	4	"black_con"	"WIT"	"congruent"	"black"	"gun"	1	3	"Present"
54	"WITnumErr_bw"	9	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	3	"Absent"
55	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	3	9	"Present"
56	"WITnumErr_bw"	12	"black_con"	"WIT"	"congruent"	"black"	"gun"	4	8	"Absent"
57	"WITnumErr_bw"	8	"black_con"	"WIT"	"congruent"	"black"	"gun"	6	2	"Present"
58	"WITnumErr_bw"	3	"black_con"	"WIT"	"congruent"	"black"	"gun"	2	1	"Absent"
